state,email
Andhra Pradesh,roadsafety.andhrapradesh@gmail.com
Arunachal Pradesh,roadsafety.arunachalpradesh@gmail.com
Assam,roadsafety.assam@gmail.com
Bihar,roadsafety.bihar@gmail.com
Chhattisgarh,roadsafety.chhattisgarh@gmail.com
Goa,roadsafety.goa@gmail.com
Gujarat,roadsafety.gujarat@gmail.com
Haryana,roadsafety.haryana@gmail.com
Himachal Pradesh,roadsafety.himachalpradesh@gmail.com
Jammu and Kashmir,roadsafety.jammuandkashmir@gmail.com
Jharkhand,roadsafety.jharkhand@gmail.com
Karnataka,roadsafety.karnataka@gmail.com
Kerala,roadsafety.kerala@gmail.com
Madhya Pradesh,roadsafety.madhyapradesh@gmail.com
Maharashtra,roadsafety.maharashtra@gmail.com
Manipur,roadsafety.manipur@gmail.com
Meghalaya,roadsafety.meghalaya@gmail.com
Mizoram,roadsafety.mizoram@gmail.com
Nagaland,roadsafety.nagaland@gmail.com
Odisha,roadsafety.odisha@gmail.com
Punjab,roadsafety.punjab@gmail.com
Rajasthan,roadsafety.rajasthan@gmail.com
Sikkim,roadsafety.sikkim@gmail.com
Tamil Nadu,roadsafety.tamilnadu@gmail.com
Telangana,roadsafety.telangana@gmail.com
Tripura,roadsafety.tripura@gmail.com
Uttar Pradesh,roadsafety.uttarpradesh@gmail.com
Uttarakhand,roadsafety.uttarakhand@gmail.com
West Bengal,roadsafety.westbengal@gmail.com
Andaman and Nicobar Islands,roadsafety.andamanandnicobarislands@gmail.com
Chandigarh,roadsafety.chandigarh@gmail.com
Dadra and Nagar Haveli,roadsafety.dadraandnagarhaveli@gmail.com
Daman,roadsafety.daman@gmail.com
Lakshadweep,roadsafety.lakshadweep@gmail.com
Delhi,roadsafety.delhi@gmail.com
Puducherry,roadsafety.puducherry@gmail.com
